Restaurant_Name,Online,Booking,Rating,Location,Cuisines,Price,Restaurant_Type
Cupcake Bliss,Yes,No,3.7,Malleshwaram,Bakery,200.0,Desserts
CAFE NOVA,No,No,3.2,Banashankari,"Cafe, Bakery",600.0,Desserts
Ober Cafe,Yes,No,3.5,Koramangala 1st Block,"Fast Food, Desserts",200.0,Delivery
Chowmein,Yes,No,3.8,Basaveshwara Nagar,"Chinese, North Indian, Momos, Biryani",800.0,Delivery
Khai Khai,Yes,No,3.9,HSR,Bengali,450.0,Dine-out
Karachi Bakery,Yes,No,3.7,Sarjapur Road,"Bakery, Fast Food, Desserts",400.0,Delivery
Chung Wah,No,No,2.9,Bellandur,"Chinese, Thai",400.0,Dine-out
Rahhams,Yes,No,3.9,Frazer Town,"Mughlai, North Indian, Chinese",700.0,Delivery
Kwality Cakes N Bakes,Yes,No,3.7,HSR,"Bakery, Desserts",350.0,Delivery
The Table,Yes,No,3.9,Indiranagar,"Bakery, Desserts",400.0,Delivery
Amande Patisserie,Yes,No,4.2,Lavelle Road,"Bakery, French, Desserts",300.0,Desserts
Tarbouche,Yes,No,4.0,Koramangala 5th Block,"Turkish, Rolls",300.0,Delivery
The Restaurant,No,No,3.7,Marathahalli,"Continental, Chinese, North Indian",1200.0,Buffet
Naachiyar's,Yes,No,3.9,Ulsoor,Chettinad,600.0,Delivery
Canton,Yes,No,3.6,Jayanagar,"Chinese, Seafood, Biryani",800.0,Delivery
Modern Restaurant,Yes,No,3.1,BTM,"North Indian, Chinese",450.0,Delivery
The Only Place,Yes,Yes,4.2,Church Street,"Italian, American, Steak, Continental, BBQ, Salad",1000.0,Delivery
Konfection Konnection,No,No,3.6,Frazer Town,Desserts,600.0,Desserts
Bhagini Kitchen And Bar,No,No,3.8,Marathahalli,"Andhra, South Indian, Chinese, North Indian",1100.0,Dine-out
Cafe Velvette,No,No,3.4,Domlur,"Cafe, American, Italian, Continental",400.0,Cafes
The Salt Grill - Hilton Bangalore Embassy Golflinks,No,Yes,4.1,Domlur,"European, Mediterranean, Salad",3000.0,Dine-out
Nutri Fit,Yes,No,3.4,HSR,Healthy Food,300.0,Delivery
Nandhini Deluxe,No,No,2.9,Sarjapur Road,"Andhra, North Indian",800.0,Dine-out
Amande Patisserie,Yes,No,4.2,Lavelle Road,"Bakery, French, Desserts",300.0,Delivery
Dreamcatcher,Yes,No,3.9,Bannerghatta Road,Cafe,600.0,Cafes
Delicacy,Yes,No,3.8,CV Raman Nagar,"Chinese, Thai, Momos",500.0,Delivery
Tangerine - Davanam Sarovar Portico Suites,Yes,Yes,4.0,Koramangala 2nd Block,"Continental, Italian, North Indian, Asian, Bakery, Chinese, European, Japanese",1100.0,Dine-out
Mehfil Family Restaurant,Yes,No,3.0,Malleshwaram,North Indian,750.0,Dine-out
Raidan Oven,No,No,3.3,Frazer Town,"Rolls, Arabian",300.0,Delivery
New Prashanth Hotel,Yes,No,3.7,Majestic,"South Indian, Biryani, Chinese, North Indian",750.0,Delivery
Shake Tat Bottle,Yes,No,3.2,BTM,Beverages,200.0,Delivery
VT Sindhur Veg,No,No,3.3,Richmond Road,"North Indian, Chinese",600.0,Buffet
Punjabi Dhaba,Yes,No,3.4,Ejipura,"North Indian, Chinese",350.0,Delivery
Toit,No,No,4.7,Indiranagar,"Italian, American, Pizza",1500.0,Dine-out
Plantain Leaf,Yes,No,3.9,Thippasandra,"Andhra, Chinese, North Indian, Biryani",600.0,Dine-out
Cakes Wagon,Yes,No,3.4,Marathahalli,"Desserts, Bakery",300.0,Delivery
Shree Khana Khazana,Yes,No,4.2,Bellandur,"North Indian, Chinese",450.0,Dine-out
Delite Chaat House,Yes,No,4.0,Indiranagar,"Street Food, Gujarati",300.0,Dine-out
Juice Fresco & Pizza,Yes,No,3.4,JP Nagar,"Beverages, Pizza",300.0,Dine-out
Cafe D'hide,Yes,Yes,4.2,Koramangala 5th Block,"Cafe, American, Continental, Italian",600.0,Delivery
Healthie,Yes,No,3.9,Indiranagar,"Healthy Food, Beverages",600.0,Delivery
Coffee@Arens,Yes,No,3.8,Banaswadi,"Cafe, Fast Food",550.0,Delivery
Rajdhani Thali Restaurant,Yes,Yes,4.0,Malleshwaram,North Indian,1000.0,Delivery
Skylit - Citrus Hotels,No,Yes,4.0,Cunningham Road,"North Indian, Mughlai, Mediterranean",1300.0,Dine-out
Delhi Biryani Cafe,Yes,No,3.4,BTM,"North Indian, Biryani",250.0,Delivery
Jade,No,No,3.3,Ejipura,"Continental, American",900.0,Dine-out
Bangalore Donne Biriyani,Yes,No,3.2,Kumaraswamy Layout,"South Indian, Biryani",300.0,Delivery
Oye Amritsar,Yes,Yes,4.1,Church Street,North Indian,600.0,Delivery
Fresh Bites,Yes,No,3.3,Koramangala 1st Block,"Italian, Fast Food",400.0,Delivery
Opus Food Stories,No,Yes,4.5,Sarjapur Road,"Goan, Asian, North Indian, European, Continental",1800.0,Pubs and bars
Laddoos,Yes,No,2.9,Jeevan Bhima Nagar,"North Indian, Street Food, Mithai",250.0,Dine-out
Pot Biryani,Yes,No,3.8,New BEL Road,"North Indian, Chinese, Biryani",450.0,Delivery
Le Charcoal Xpress,Yes,No,4.0,HSR,"Arabian, BBQ, Rolls, Lebanese",500.0,Delivery
Dine @ 9 Paratha Corner,Yes,No,3.6,Indiranagar,"North Indian, Chinese",300.0,Delivery
Samaroh,No,No,4.0,Bellandur,North Indian,1200.0,Delivery
KF's Biryani's and Kababs,Yes,No,3.4,Koramangala 4th Block,"Biryani, Kebab",400.0,Delivery
Sri Krishna Sagar,Yes,No,3.5,HSR,"South Indian, North Indian, Chinese, Street Food, Juices",400.0,Delivery
Sandwich Shop,Yes,No,2.9,JP Nagar,"Fast Food, Burger, Sandwich",400.0,Delivery
The Arabesque Cafe,No,No,4.1,Koramangala 4th Block,"American, Continental, Chinese",600.0,Dine-out
Shake It Off,Yes,No,4.2,Indiranagar,"Beverages, Fast Food",600.0,Delivery
SS Bucket Biryani,No,No,4.0,Kammanahalli,"Biryani, North Indian, Chinese",600.0,Dine-out
Delhi Food Point,Yes,No,3.3,Koramangala 1st Block,"North Indian, Beverages",250.0,Delivery
Chattar Mattar,No,No,3.5,HSR,"North Indian, Chinese",150.0,Dine-out
Big Foody's,No,No,3.2,Koramangala 8th Block,"North Indian, Chinese, South Indian, Fast Food",500.0,Delivery
Bawarchi Biryani,Yes,No,3.4,Koramangala 6th Block,"Biryani, South Indian",350.0,Dine-out
The Hidden Home,Yes,Yes,4.2,Sarjapur Road,"Asian, Chinese, Continental, North Indian, South Indian",1300.0,Buffet
Chattorey - The Family Restaurant,No,No,3.4,Marathahalli,"North Indian, Chinese, South Indian, Rolls",400.0,Dine-out
Zeee's,Yes,No,3.7,Whitefield,"Fast Food, North Indian, Street Food",300.0,Delivery
INDULGE by InnerChef,Yes,No,3.6,Whitefield,"Desserts, Bakery",400.0,Delivery
Feast India Co.,Yes,No,4.2,Cunningham Road,"Awadhi, Bengali, North Indian",1500.0,Delivery
The Choux Box,No,No,3.5,Koramangala 6th Block,"Desserts, Bakery",300.0,Delivery
Gundappa Donne Biryani,No,No,3.7,St. Marks Road,Biryani,300.0,Dine-out
Sandhya Veg,Yes,No,3.5,Brigade Road,"South Indian, Chinese",150.0,Delivery
Brundhavana Pure Veg,Yes,No,3.7,JP Nagar,"South Indian, North Indian, Chinese, Beverages",500.0,Delivery
Sonar Bangala,Yes,No,3.8,Koramangala 5th Block,"Bengali, North Indian",500.0,Delivery
Brea,No,No,3.2,Commercial Street,Bakery,300.0,Desserts
Shaadi Ki Biryani,Yes,No,2.8,Commercial Street,Biryani,600.0,Dine-out
Yeti,No,No,3.7,BTM,"Fast Food, Desserts, Ice Cream",300.0,Delivery
BR Military Hotel,No,No,3.1,Indiranagar,North Indian,300.0,Dine-out
The Foodyz,Yes,No,3.7,JP Nagar,"North Indian, Chinese",500.0,Delivery
Cafe At The Atelier,Yes,No,4.2,Sarjapur Road,"Cafe, Continental, Italian, Salad",800.0,Delivery
Ibaco,Yes,No,3.9,Kalyan Nagar,Desserts,300.0,Desserts
Nile Garden Restaurant,Yes,No,2.6,BTM,"North Indian, Fast Food, Chinese, Beverages",500.0,Delivery
Taj Hotel,Yes,No,3.7,Shivajinagar,"Mughlai, Chinese",700.0,Delivery
Just Bake,Yes,No,3.3,Basavanagudi,"Bakery, Desserts",400.0,Delivery
Punjab Junction,Yes,No,3.2,Whitefield,North Indian,350.0,Delivery
The Chevron Brigade,No,No,3.3,Brigade Road,"Fast Food, Biryani, Chinese, Seafood",1200.0,Dine-out
Nandhanam Restaurant,Yes,No,3.8,HSR,"South Indian, Kerala",300.0,Delivery
Bangalore Masala House,Yes,No,4.2,Vasanth Nagar,"Cafe, Continental, Fast Food",500.0,Cafes
Namma Madurai,Yes,No,3.0,Kaggadasapura,South Indian,200.0,Delivery
Lassi Shop,No,No,3.7,Bannerghatta Road,"Beverages, Ice Cream",200.0,Desserts
WAFL Co,Yes,No,4.2,Koramangala 5th Block,"Desserts, Beverages",400.0,Delivery
Shanthi Sagar,Yes,No,3.6,JP Nagar,"South Indian, North Indian, Chinese",400.0,Delivery
HighTeaParty Cafe,Yes,No,3.9,Malleshwaram,"Cafe, Continental, Steak, Italian",500.0,Dine-out
The White Room - Coffee & Kitchen,No,Yes,4.1,Church Street,"Cafe, Continental, American, Desserts",1000.0,Cafes
Basmati Delights,Yes,No,4.0,BTM,"Biryani, Chinese, Mughlai, Fast Food, Kebab",500.0,Delivery
Cafe D'hide,Yes,Yes,4.2,Koramangala 5th Block,"Cafe, American, Continental, Italian",600.0,Delivery
The Gluten Free Baking Co.,No,No,3.8,Banaswadi,Bakery,400.0,Delivery
Donne Biryani Hatti,Yes,No,3.6,Vasanth Nagar,Biryani,300.0,Dine-out
Sunny Spice Chinese Restaurant,Yes,No,3.3,Rajajinagar,"Chinese, Thai, Seafood",650.0,Dine-out
Sagar Fast Food,Yes,No,3.7,BTM,"South Indian, Chinese, North Indian",300.0,Delivery
The Mint Resto Bar,No,Yes,2.6,Marathahalli,"North Indian, Chinese, Andhra",1000.0,Drinks & nightlife
OPUS Club,No,Yes,4.5,Sarjapur Road,"Continental, Italian, North Indian, Mexican",1900.0,Drinks & nightlife
Roti Shotti,Yes,No,3.8,Jeevan Bhima Nagar,North Indian,400.0,Delivery
The Local - Burger Bar,No,No,3.8,Koramangala 6th Block,"American, Pizza, Burger",1500.0,Drinks & nightlife
eat.fit,Yes,No,4.4,Whitefield,"Healthy Food, North Indian, Biryani, Continental, Desserts",500.0,Desserts
Chutney Chang,Yes,Yes,4.1,Jayanagar,"North Indian, Chinese, BBQ",1500.0,Buffet
Kadamba Foodline,No,No,3.7,Ulsoor,"Chinese, North Indian, South Indian, Street Food",400.0,Delivery
Dosalicious,Yes,No,3.3,Koramangala 6th Block,South Indian,150.0,Dine-out
Slounge - Lemon Tree Hotel,No,Yes,3.9,Whitefield,Finger Food,1500.0,Dine-out
Hotel Ruchi Priya,Yes,No,3.6,Wilson Garden,North Indian,350.0,Delivery
Monarch,No,No,3.6,Brigade Road,"North Indian, Chinese, Continental, South Indian",700.0,Dine-out
Karavali Grand,Yes,No,3.7,Koramangala 5th Block,"Mangalorean, Seafood, North Indian, Chinese",600.0,Delivery
Paratha Junction,Yes,No,3.3,Jayanagar,"North Indian, Chinese",300.0,Dine-out
Khan Saheb Grills and Rolls,Yes,No,4.0,Indiranagar,"Fast Food, Rolls",350.0,Delivery
Apsara Ice Cream,No,No,3.2,Whitefield,"Ice Cream, Desserts",200.0,Delivery
Cake Yard,No,No,3.4,Basavanagudi,Desserts,250.0,Delivery
Panchavati Gaurav Thali,No,Yes,4.0,Brigade Road,"Rajasthani, Gujarati",800.0,Buffet
Aashirvaad Restaurant,Yes,No,3.1,Marathahalli,"North Indian, Oriya, Chinese",300.0,Dine-out
Bootlegger,No,Yes,4.1,Indiranagar,"Continental, Steak",1800.0,Dine-out
Pensiri Cafe,Yes,No,3.6,HSR,North Indian,300.0,Delivery
Ilyazsab The House Of Chicken,Yes,No,4.0,BTM,"Rolls, Kebab",250.0,Delivery
Suchithra Biryani House,No,No,3.7,Old Airport Road,"Andhra, Biryani, North Indian",450.0,Dine-out
Leela's Kitchen,No,No,3.8,Banaswadi,"Kerala, South Indian, North Indian, Chinese",400.0,Dine-out
RB Food Point,Yes,No,3.7,BTM,"North Indian, Chinese",300.0,Dine-out
Peace Restaurant,Yes,No,2.6,Indiranagar,"Chinese, Tibetan",500.0,Delivery
The French Loaf,No,No,3.8,Koramangala 5th Block,"Bakery, Desserts, Sandwich",400.0,Desserts
Halli Mane,Yes,No,3.2,Majestic,South Indian,300.0,Delivery
Paaramparya Restaurant,Yes,No,3.6,Kammanahalli,"Chettinad, Mangalorean, South Indian, North Indian",600.0,Delivery
Little Green Cafe,No,No,4.3,Church Street,"Cafe, Healthy Food, Salad, Continental, Beverages, Italian, Sandwich",900.0,Cafes
Biggies Burger 'n' More,Yes,No,3.8,Koramangala 6th Block,"Cafe, Burger, Fast Food",400.0,Dine-out
Hotel Shri Raghavendra,No,No,3.0,Majestic,"South Indian, North Indian",150.0,Dine-out
Le ChÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©ri,No,No,3.8,Shanti Nagar,"Bakery, Desserts",350.0,Delivery
Ashirvad Veg,No,No,3.4,Marathahalli,South Indian,300.0,Dine-out
Namaste Kitchen,Yes,No,3.8,Koramangala 5th Block,"North Indian, South Indian, Chinese",400.0,Delivery
Home Treat,No,No,3.1,Brigade Road,North Indian,150.0,Dine-out
Mealer.in,Yes,No,4.2,Koramangala 4th Block,"North Indian, Biryani",450.0,Delivery
Jethro's,No,No,3.7,JP Nagar,"Fast Food, Burger",450.0,Delivery
Milano Ice Cream,No,No,4.5,Jayanagar,"Ice Cream, Desserts",400.0,Desserts
Sharief Bhai,No,Yes,4.3,Koramangala 5th Block,"Mughlai, Biryani",700.0,Dine-out
The Bridge Walk Cafe,Yes,No,3.7,Kengeri,"Cafe, Continental",500.0,Dine-out
Baba Ka Dhaba,Yes,No,3.7,BTM,North Indian,400.0,Dine-out
Qube Cafe,Yes,No,4.2,Koramangala 4th Block,"Cafe, Desserts",700.0,Dine-out
A1 Garam Masala,Yes,No,3.6,Kanakapura Road,"North Indian, South Indian, Andhra, Chinese",600.0,Delivery
Paratha Junction,Yes,No,2.9,BTM,"North Indian, Chinese",300.0,Delivery
Basawa Hotel,No,No,3.4,BTM,South Indian,250.0,Dine-out
Tawa Ghar Ka,Yes,No,3.8,HSR,North Indian,350.0,Dine-out
Cafe On The Way,Yes,No,4.0,Koramangala 3rd Block,Cafe,500.0,Desserts
Dolci Desserts,Yes,No,4.3,Cunningham Road,"Cafe, Desserts",750.0,Dine-out
Biriyani Mane,Yes,No,3.7,Jayanagar,"Biryani, Chinese, North Indian",700.0,Dine-out
Namma Brahmin's Idli,Yes,No,3.6,Jayanagar,South Indian,100.0,Delivery
Karama Restaurant,Yes,No,3.3,HSR,Arabian,400.0,Delivery
Night Spoon,Yes,No,2.6,BTM,"Biryani, Chinese, North Indian",600.0,Delivery
Monsoon,No,No,2.8,Bellandur,Continental,1000.0,Buffet
Shri Ram Sweet Centre,No,No,4.0,BTM,"Street Food, Mithai",150.0,Dine-out
Ross Kitchen,Yes,No,3.6,BTM,Chinese,400.0,Delivery
Just Bake,Yes,No,3.5,Shanti Nagar,Bakery,400.0,Desserts
Holiday Fast Food,No,No,3.4,Ejipura,"Kerala, South Indian, Chinese",350.0,Delivery
The Bao Belly,No,No,3.3,Residency Road,Cafe,400.0,Delivery
Smoke-A-Pot,No,No,3.3,Koramangala 5th Block,"Biryani, Kebab, Rolls",600.0,Delivery
Uday Sweets,Yes,No,3.5,Koramangala 6th Block,"Mithai, Fast Food",250.0,Desserts
Leon Grill,Yes,No,4.3,Koramangala 5th Block,"Burger, Fast Food",500.0,Delivery
TangyLicious,Yes,No,2.6,BTM,Fast Food,400.0,Delivery
Oye Amritsar,Yes,Yes,4.1,Church Street,North Indian,600.0,Dine-out
Black Deer,Yes,No,4.4,Koramangala 5th Block,"Beverages, Desserts",350.0,Desserts
Black Cup Cafe,Yes,No,3.6,BTM,"Cafe, Fast Food, Beverages",400.0,Cafes
Cold Stone Creamery,Yes,No,3.9,Bannerghatta Road,"Ice Cream, Desserts",400.0,Delivery
Chinese Corner,No,No,2.8,Basavanagudi,Chinese,200.0,Dine-out
Cafe Coffee Day The Square,No,No,4.1,Lavelle Road,Cafe,1100.0,Cafes
Berry'd Alive,No,No,4.3,Koramangala 5th Block,Desserts,400.0,Desserts
The Hole in the Wall Cafe,No,No,4.6,Koramangala 4th Block,"Cafe, American, Burger",600.0,Dine-out
Frozen Bottle,Yes,No,4.0,Brigade Road,"Beverages, Desserts, Ice Cream",400.0,Delivery
Masala Kitchen,No,No,3.0,Brigade Road,North Indian,700.0,Dine-out
Shree Muthahalli Veg,Yes,No,4.1,HSR,"South Indian, North Indian, Chinese, Juices, Ice Cream",300.0,Delivery
Udupas Veg Restaurant,No,No,3.2,Banaswadi,"South Indian, North Indian",300.0,Dine-out
Vivi's Food Joint,Yes,No,3.7,Kumaraswamy Layout,"North Indian, Fast Food, Beverages",250.0,Delivery
Aqua - The Park Bangalore,No,Yes,4.0,MG Road,"North Indian, Mediterranean, Chinese",3000.0,Pubs and bars
Svadu Sweets,No,No,3.3,BTM,"Street Food, Mithai",200.0,Dine-out
Ammi's Biryani,No,No,2.7,Bommanahalli,"Biryani, North Indian",500.0,Dine-out
Bhagini IRIS,No,No,3.7,Whitefield,"North Indian, Chinese",600.0,Dine-out
Cashmere Nites,Yes,No,3.5,Koramangala 6th Block,Kashmiri,600.0,Dine-out
The Culinarium,No,No,3.7,Vasanth Nagar,"Cafe, Desserts, Beverages",1100.0,Desserts
1522 - The Pub,No,Yes,4.2,Koramangala 4th Block,"Chinese, Continental, North Indian",1400.0,Dine-out
Pathaan Sir,Yes,No,3.3,Kammanahalli,"Rolls, Chinese",300.0,Delivery
Bao and Rolls,No,No,3.6,Bannerghatta Road,"Rolls, Kebab, Fast Food",250.0,Delivery
Udupi Grand,No,No,2.8,Koramangala 7th Block,"South Indian, North Indian, Chinese",300.0,Dine-out
Davangere Benna Dose Hotel,Yes,No,4.1,Jayanagar,South Indian,100.0,Delivery
"3B's - Buddies, Bar & Barbecues",No,Yes,4.4,BTM,"North Indian, Mediterranean, European, BBQ",1100.0,Dine-out
Tandoor,Yes,Yes,3.9,MG Road,North Indian,2100.0,Delivery
Food Box,Yes,No,3.6,Kammanahalli,"Fast Food, Beverages",350.0,Delivery
McDonald's,Yes,No,3.9,Banashankari,"Burger, Fast Food",500.0,Dine-out
Strikers Sports Bar and Music,No,Yes,3.8,Shanti Nagar,"Continental, North Indian, Chinese",1200.0,Dine-out
@ Biryani Central,Yes,No,2.7,Marathahalli,"Biryani, Mughlai, Chinese",550.0,Delivery
Shree Durgamba Juice Centre,Yes,No,3.1,Koramangala 8th Block,Beverages,200.0,Delivery
Mainland China,Yes,Yes,4.5,Church Street,Chinese,1700.0,Dine-out
Cooking Mom,Yes,No,2.9,Bellandur,"North Indian, Andhra",800.0,Dine-out
i-Bar - The Park Bangalore,No,No,3.8,MG Road,"North Indian, Chinese, Mediterranean",3000.0,Drinks & nightlife
HSR High Street,No,Yes,3.8,HSR,"Hyderabadi, North Indian, South Indian, Biryani",800.0,Dine-out
Sunshadow.in,No,No,3.5,Kaggadasapura,"North Indian, Chinese",400.0,Delivery
Soho Bar & Grill,No,No,2.7,Basavanagudi,"North Indian, Chinese, Thai",1100.0,Drinks & nightlife
Pizza Republic,Yes,No,3.8,Electronic City,"Pizza, Fast Food",500.0,Delivery
Mishra Pedha,No,No,3.3,Richmond Road,"Mithai, Bakery",300.0,Desserts
Madhu's Tandoori Kitchen,No,No,3.0,Marathahalli,"North Indian, Chinese, Biryani",350.0,Dine-out
Jaganath Restaurant And Hotel,No,No,3.2,JP Nagar,North Indian,300.0,Delivery
Munchies,Yes,No,3.9,Brigade Road,"Fast Food, Bakery",250.0,Dine-out
Kritunga Restaurant,No,No,3.8,Koramangala 5th Block,"Andhra, Biryani, North Indian, Chinese",650.0,Dine-out
Anand Sweets and Savouries,Yes,No,3.9,Jayanagar,"Mithai, Street Food",400.0,Desserts
Floured-Baked With Love,No,No,3.8,Banashankari,Bakery,400.0,Desserts
FreshMenu,Yes,No,3.8,Richmond Road,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450.0,Delivery
The Cheesecake Corner,No,No,3.7,BTM,Desserts,400.0,Delivery
Hotel Nalapaka,No,No,4.3,Rajajinagar,South Indian,400.0,Dine-out
Peace Restaurant,Yes,No,3.8,Koramangala 5th Block,"Chinese, Tibetan, North Indian",500.0,Dine-out
MISU,Yes,Yes,4.6,St. Marks Road,"Asian, Japanese, Korean, Indonesian, Malaysian, Singaporean",1700.0,Dine-out
Occasions,Yes,No,4.3,Koramangala 4th Block,"Bakery, Desserts",400.0,Delivery
The Beer Cafe,Yes,Yes,4.2,Koramangala 4th Block,"Finger Food, Chinese, Italian, Burger",1300.0,Delivery
Mighty Small,No,No,4.1,MG Road,"Continental, Chinese",1300.0,Dine-out
Barleyz,No,No,3.7,Koramangala 6th Block,"North Indian, Continental, Chinese",2000.0,Dine-out
Krishna Sagar,Yes,No,3.9,BTM,"South Indian, North Indian, Chinese",300.0,Dine-out
Rim Naam - The Oberoi,No,No,4.6,MG Road,Thai,3000.0,Buffet
Pathy's Kitchen,Yes,No,3.5,Indiranagar,Andhra,500.0,Delivery
Paratha Plaza,No,No,3.8,HSR,North Indian,250.0,Dine-out
