Online,Booking,Location,Cuisines,Restaurant_Type,Rating,Price
0,0,43,14,4,4.1,6.396929655216146
1,0,27,270,2,4.2,6.396929655216146
0,0,36,370,4,4.0,6.396929655216146
1,0,40,1514,2,3.3,5.521460917862246
0,0,22,1545,4,3.5,5.0106352940962555
0,0,47,1652,2,3.2,6.214608098422191
1,0,45,393,4,3.4,5.857933154483459
1,1,73,153,0,4.2,7.170119543449628
0,0,55,1657,4,3.4,5.991464547107982
1,0,86,1100,2,3.7,5.703782474656201
1,0,86,968,2,3.6,5.991464547107982
1,0,15,188,2,4.2,7.313220387090301
0,0,45,968,2,3.5,5.703782474656201
0,0,78,308,4,3.7,5.703782474656201
1,0,8,2034,2,3.5,5.0106352940962555
1,0,29,2082,2,3.7,6.214608098422191
1,0,44,250,2,3.8,6.214608098422191
0,0,14,204,3,3.2,5.703782474656201
1,0,14,308,4,2.8,6.396929655216146
0,0,0,1071,2,3.7,5.703782474656201
0,0,27,1485,4,3.1,5.703782474656201
1,0,29,1545,2,3.7,6.214608098422191
1,0,73,528,2,4.2,6.684611727667927
1,0,35,966,3,3.9,5.703782474656201
1,0,0,1710,2,2.6,6.214608098422191
1,0,76,1457,2,3.7,6.551080335043404
1,0,4,212,2,3.3,5.991464547107982
1,0,86,1485,2,3.2,5.857933154483459
0,0,8,1038,4,3.3,7.090076835776092
1,0,22,2064,2,3.8,5.703782474656201
1,0,83,518,1,4.2,6.214608098422191
1,0,34,2008,2,3.0,5.298317366548036
0,0,3,278,3,3.7,5.298317366548036
1,0,44,972,2,4.2,5.991464547107982
1,0,29,2080,2,3.6,5.991464547107982
1,0,54,543,4,3.9,6.214608098422191
0,1,12,502,1,4.1,6.907755278982137
1,0,0,330,2,4.0,6.214608098422191
1,1,44,444,2,4.2,6.396929655216146
0,0,2,204,2,3.8,5.991464547107982
1,0,83,308,4,3.6,5.703782474656201
1,0,64,791,4,3.3,6.476972362889683
1,0,0,2042,2,3.7,5.703782474656201
0,1,55,1546,5,2.6,6.907755278982137
0,1,73,898,5,4.5,7.549609165154532
1,0,32,1485,2,3.8,5.991464547107982
0,0,45,42,5,3.8,7.313220387090301
1,0,86,1181,3,4.4,6.214608098422191
1,1,31,1561,0,4.1,7.313220387090301
0,0,80,756,2,3.7,5.991464547107982
1,0,45,2008,4,3.3,5.0106352940962555
0,1,86,1124,4,3.9,7.313220387090301
1,0,87,1485,2,3.6,5.857933154483459
0,0,8,1589,4,3.6,6.551080335043404
1,0,44,1398,2,3.7,6.396929655216146
1,0,31,1545,4,3.3,5.703782474656201
1,0,27,1105,2,4.0,5.857933154483459
0,0,86,1216,2,3.2,5.298317366548036
0,0,4,966,2,3.4,5.521460917862246
0,1,8,1922,0,4.0,6.684611727667927
1,0,55,1791,4,3.1,5.703782474656201
0,1,27,958,4,4.1,7.495541943884256
1,0,22,1485,2,3.6,5.703782474656201
1,0,0,1935,2,4.0,5.521460917862246
0,0,60,55,4,3.7,6.1092475827643655
0,0,2,1357,4,3.8,5.991464547107982
1,0,0,1545,4,3.7,5.703782474656201
1,0,27,796,2,2.6,6.214608098422191
0,0,44,219,3,3.8,5.991464547107982
1,0,53,2008,2,3.2,5.703782474656201
1,0,36,649,2,3.6,6.396929655216146
0,0,12,577,1,4.3,6.802394763324311
1,0,45,480,4,3.8,5.991464547107982
0,0,53,2077,4,3.0,5.0106352940962555
0,0,75,212,2,3.8,5.857933154483459
0,0,55,2008,4,3.4,5.703782474656201
1,0,44,1820,2,3.8,5.991464547107982
0,0,8,1485,4,3.1,5.0106352940962555
1,0,43,1519,2,4.2,6.1092475827643655
0,0,29,1041,2,3.7,6.1092475827643655
0,0,31,1216,3,4.5,5.991464547107982
0,1,44,1453,4,4.3,6.551080335043404
1,0,38,498,4,3.7,6.214608098422191
1,0,0,1485,4,3.7,5.991464547107982
1,0,43,547,4,4.2,6.551080335043404
1,0,37,1811,2,3.6,6.396929655216146
1,0,0,1545,2,2.9,5.703782474656201
0,0,0,2008,4,3.4,5.521460917862246
1,0,22,1485,4,3.8,5.857933154483459
1,0,42,436,3,4.0,6.214608098422191
1,0,15,547,4,4.3,6.620073206530356
1,0,31,331,4,3.7,6.551080335043404
1,0,31,2008,2,3.6,4.605170185988092
1,0,22,100,2,3.3,5.991464547107982
1,0,0,331,2,2.6,6.396929655216146
0,0,6,805,0,2.8,6.907755278982137
0,0,0,2150,4,4.0,5.0106352940962555
1,0,0,654,2,3.6,5.991464547107982
1,0,75,204,3,3.5,5.991464547107982
0,0,18,1354,2,3.4,5.857933154483459
0,0,67,436,2,3.3,5.991464547107982
0,0,44,353,2,3.3,6.396929655216146
1,0,45,1429,3,3.5,5.521460917862246
1,0,44,421,2,4.3,6.214608098422191
1,0,0,1021,2,2.6,5.991464547107982
1,1,12,1485,4,4.1,6.396929655216146
1,0,44,266,3,4.4,5.857933154483459
1,0,0,556,1,3.6,5.991464547107982
1,0,3,1216,2,3.9,5.991464547107982
0,0,4,654,4,2.8,5.298317366548036
0,0,50,436,1,4.1,7.003065458786462
0,0,44,966,3,4.3,5.991464547107982
0,0,43,439,4,4.6,6.396929655216146
1,0,8,268,2,4.0,5.991464547107982
0,0,8,1485,4,3.0,6.551080335043404
1,0,22,2089,2,4.1,5.703782474656201
0,0,2,2077,4,3.2,5.703782474656201
1,0,48,1704,2,3.7,5.521460917862246
0,1,51,1755,6,4.0,8.006367567650246
0,0,0,2150,4,3.3,5.298317366548036
0,0,7,365,4,2.7,6.214608098422191
0,0,86,1545,4,3.7,6.396929655216146
1,0,45,1305,4,3.5,6.396929655216146
0,0,83,549,3,3.7,7.003065458786462
0,1,43,680,4,4.2,7.24422751560335
1,0,36,1931,2,3.3,5.703782474656201
0,0,3,1937,2,3.6,5.521460917862246
0,0,46,2080,4,2.8,5.703782474656201
1,0,31,2008,2,4.1,4.605170185988092
0,1,0,1756,4,4.4,7.003065458786462
1,1,51,1485,2,3.9,7.649692623711514
1,0,36,1031,2,3.6,5.857933154483459
1,0,1,421,4,3.9,6.214608098422191
0,1,75,918,4,3.8,7.090076835776092
1,0,55,360,2,2.7,6.309918278226516
1,0,47,260,2,3.1,5.298317366548036
1,1,12,654,4,4.5,7.438383530044307
1,0,6,1490,4,2.9,6.684611727667927
0,0,51,1622,5,3.8,8.006367567650246
0,1,22,1208,4,3.8,6.684611727667927
0,0,34,1545,2,3.5,5.991464547107982
0,0,4,1667,5,2.7,7.003065458786462
1,0,19,1903,2,3.8,6.214608098422191
0,0,68,1426,3,3.3,5.703782474656201
0,0,55,1565,4,3.0,5.857933154483459
0,0,29,1485,2,3.2,5.703782474656201
1,0,8,1028,4,3.9,5.521460917862246
0,0,44,57,4,3.8,6.476972362889683
1,0,31,1435,3,3.9,5.991464547107982
0,0,1,204,3,3.8,5.991464547107982
1,0,68,1171,2,3.8,6.1092475827643655
0,0,0,966,2,3.7,5.991464547107982
0,0,64,2008,4,4.3,5.991464547107982
1,0,44,799,4,3.8,6.214608098422191
1,1,78,169,4,4.6,7.438383530044307
1,0,43,212,2,4.3,5.991464547107982
1,1,43,1129,2,4.2,7.170119543449628
0,0,51,850,4,4.1,7.170119543449628
0,0,45,1680,4,3.7,7.600902459542082
1,0,0,2080,4,3.9,5.703782474656201
0,0,51,2180,0,4.6,8.006367567650246
1,0,27,47,2,3.5,6.214608098422191
0,0,22,1485,4,3.8,5.521460917862246
1,0,36,700,2,2.9,5.521460917862246
1,1,0,164,5,4.1,7.313220387090301
1,0,44,1370,2,3.9,5.703782474656201
1,0,47,308,2,4.0,6.476972362889683
1,0,45,249,2,4.1,6.476972362889683
0,1,51,180,5,4.4,7.438383530044307
1,0,22,126,2,3.4,5.991464547107982
1,0,6,1790,4,3.7,6.620073206530356
1,0,6,1545,2,3.0,5.991464547107982
0,0,22,1452,2,3.4,6.396929655216146
0,0,44,720,2,3.9,6.396929655216146
1,0,27,288,2,3.8,4.605170185988092
1,0,0,309,2,3.4,5.703782474656201
1,0,45,2158,4,4.3,5.703782474656201
0,0,4,2008,4,4.1,4.605170185988092
1,0,67,2018,2,3.6,6.214608098422191
1,0,55,631,4,3.6,5.521460917862246
1,0,40,511,4,3.8,6.396929655216146
1,0,16,1545,4,3.1,6.214608098422191
0,0,67,436,4,3.3,5.991464547107982
1,1,12,501,1,4.3,6.620073206530356
1,0,6,1037,2,3.5,5.991464547107982
1,0,87,1041,2,3.5,5.703782474656201
1,0,44,100,2,4.0,5.703782474656201
0,0,18,308,2,3.3,4.605170185988092
1,0,55,2077,4,3.6,6.551080335043404
1,0,20,436,4,3.7,6.1092475827643655
0,0,32,1209,3,3.3,5.298317366548036
0,0,67,2023,4,3.4,6.214608098422191
0,0,8,13,6,4.1,7.090076835776092
1,0,20,270,2,3.5,5.991464547107982
0,0,3,48,4,4.2,6.684611727667927
0,0,83,549,4,4.0,7.003065458786462
0,0,74,1145,6,3.6,6.907755278982137
1,0,19,1435,2,3.3,5.0106352940962555
1,0,22,1031,2,3.9,5.991464547107982
1,0,75,270,2,3.6,5.0106352940962555
0,0,68,1143,5,4.2,7.600902459542082
0,0,0,731,2,3.5,6.309918278226516
1,0,40,1485,2,3.4,5.298317366548036
1,0,44,2194,4,4.3,6.396929655216146
1,0,19,1219,4,4.0,5.991464547107982
1,0,48,1545,2,3.5,5.703782474656201
1,0,73,1546,2,3.3,6.396929655216146
0,1,44,812,4,4.5,7.24422751560335
1,0,32,2003,2,3.9,6.396929655216146
0,1,44,1135,2,4.5,6.907755278982137
1,0,55,1565,4,3.7,5.991464547107982
0,0,55,1579,4,3.9,7.313220387090301
0,0,31,570,1,4.1,6.745236349484363
1,0,75,1809,2,3.8,5.521460917862246
0,0,45,1866,2,3.9,5.298317366548036
0,0,51,845,2,4.1,7.170119543449628
0,1,51,1735,4,4.1,7.824046010856292
1,0,40,1327,2,3.6,5.703782474656201
1,0,45,1305,4,3.5,6.396929655216146
0,0,1,1307,4,3.3,5.298317366548036
1,0,36,203,4,3.5,5.703782474656201
0,1,44,814,4,4.1,7.313220387090301
1,0,66,727,2,3.0,5.991464547107982
1,0,4,2060,4,2.7,5.991464547107982
1,0,22,972,3,3.9,5.703782474656201
0,0,29,1464,4,3.0,5.991464547107982
0,0,0,1206,4,3.4,5.857933154483459
1,1,44,646,0,4.2,7.170119543449628
0,0,47,325,2,3.4,5.703782474656201
1,0,22,654,2,2.4,6.907755278982137
1,0,8,1028,4,3.9,5.521460917862246
0,0,6,860,2,3.3,6.802394763324311
1,1,68,1159,2,4.1,6.907755278982137
1,0,43,586,2,4.0,6.551080335043404
1,0,22,1799,2,3.5,5.298317366548036
0,0,27,247,4,3.8,5.991464547107982
0,0,22,968,2,3.7,6.396929655216146
1,0,0,53,2,3.5,6.396929655216146
0,0,19,999,4,3.8,4.605170185988092
1,0,44,1215,3,4.5,6.214608098422191
0,0,0,960,2,4.0,6.907755278982137
1,0,79,1838,4,3.6,6.309918278226516
1,0,22,1949,2,3.1,6.396929655216146
1,0,27,766,2,4.2,7.003065458786462
0,0,69,221,3,3.4,6.214608098422191
1,0,3,1352,2,3.6,5.298317366548036
1,0,0,1379,2,3.6,5.298317366548036
1,0,0,1713,4,3.4,5.703782474656201
0,0,73,77,2,2.8,6.684611727667927
1,0,0,1525,2,3.1,5.991464547107982
1,0,29,1485,4,3.8,5.521460917862246
1,0,61,2130,2,3.6,5.0106352940962555
1,0,51,1545,4,3.2,6.1092475827643655
1,0,29,1889,2,3.8,6.1092475827643655
0,1,43,39,4,4.4,7.090076835776092
1,0,82,1485,2,3.4,5.703782474656201
0,0,2,1021,4,3.4,6.1092475827643655
1,1,51,523,2,4.3,7.090076835776092
1,0,0,2077,2,3.5,5.298317366548036
0,0,46,448,2,4.1,6.551080335043404
1,1,86,1923,4,3.9,6.802394763324311
1,0,27,1903,2,3.7,6.620073206530356
1,0,48,1117,2,3.2,5.298317366548036
1,0,55,1485,4,3.8,5.0106352940962555
1,0,2,1905,4,3.8,6.214608098422191
0,0,78,1124,5,3.9,6.396929655216146
0,1,4,1124,5,3.7,7.696212639346407
1,0,22,972,2,3.9,5.703782474656201
0,1,42,1545,4,4.1,7.090076835776092
1,0,29,1545,2,3.6,6.396929655216146
1,0,57,436,2,3.0,6.476972362889683
1,0,19,654,4,3.5,5.521460917862246
1,0,0,1921,4,4.0,6.214608098422191
1,0,9,1468,2,3.5,6.745236349484363
0,0,40,1269,4,2.4,6.396929655216146
0,0,19,1611,2,2.9,6.309918278226516
0,0,35,503,4,4.0,6.396929655216146
1,0,44,1324,2,3.6,6.396929655216146
1,1,86,1693,2,3.8,7.090076835776092
1,0,8,1394,4,3.5,6.476972362889683
0,0,45,1652,4,3.6,5.991464547107982
1,0,40,1999,2,3.8,6.214608098422191
1,0,0,1545,4,3.3,5.521460917862246
1,1,73,1485,4,3.7,6.684611727667927
1,1,31,1399,4,3.9,6.907755278982137
1,0,0,1330,4,3.1,6.551080335043404
1,0,16,1619,2,2.9,6.907755278982137
1,0,34,966,2,3.9,5.991464547107982
1,0,0,270,2,3.4,5.703782474656201
1,0,47,496,1,4.0,5.991464547107982
0,0,31,2008,4,3.7,5.298317366548036
1,0,68,108,2,4.0,5.991464547107982
0,0,31,2008,2,3.4,4.605170185988092
1,0,27,805,2,3.2,6.214608098422191
1,0,40,972,2,4.6,5.703782474656201
1,1,43,1897,4,4.4,6.396929655216146
1,0,62,1435,2,3.9,5.991464547107982
1,0,55,1545,2,3.0,6.1092475827643655
0,0,44,1905,2,2.9,6.214608098422191
0,0,33,780,4,3.4,5.991464547107982
1,0,22,1889,2,4.0,6.620073206530356
0,0,51,2180,4,4.6,8.006367567650246
1,1,86,1469,6,4.0,7.003065458786462
1,1,75,733,4,4.2,7.090076835776092
1,0,80,2088,2,4.1,5.521460917862246
0,0,55,1689,4,2.9,7.090076835776092
1,1,27,1275,0,4.5,7.170119543449628
1,0,2,2077,2,3.7,5.298317366548036
1,0,16,212,2,4.3,6.214608098422191
0,0,8,436,1,3.6,5.857933154483459
0,0,0,1425,3,3.4,5.703782474656201
0,0,45,308,4,3.4,5.521460917862246
1,0,27,308,2,4.1,5.703782474656201
1,0,28,785,4,3.9,7.170119543449628
1,1,86,0,4,4.6,6.907755278982137
1,0,3,436,4,3.9,6.396929655216146
0,0,20,250,2,3.1,5.703782474656201
1,0,22,966,2,4.1,5.991464547107982
0,0,36,1157,4,3.3,6.684611727667927
1,0,45,1269,2,3.8,5.991464547107982
0,0,46,2034,4,3.8,6.214608098422191
0,1,86,933,6,4.1,7.313220387090301
0,0,83,1117,2,3.3,4.605170185988092
1,0,0,1354,4,4.2,5.991464547107982
1,0,76,436,1,3.4,5.703782474656201
1,0,58,2008,4,3.9,4.605170185988092
0,0,0,1706,4,3.1,5.521460917862246
0,0,0,1988,4,3.6,6.396929655216146
0,0,46,1499,2,4.0,6.684611727667927
0,0,31,232,3,3.6,5.991464547107982
0,0,1,1545,4,3.7,6.1092475827643655
1,0,45,1054,2,3.9,5.703782474656201
0,0,76,2008,2,3.2,5.298317366548036
1,1,44,80,2,4.2,6.802394763324311
1,0,36,2173,2,2.9,5.298317366548036
1,0,57,1545,2,3.5,5.991464547107982
1,0,0,518,4,3.6,6.396929655216146
1,0,44,976,2,4.0,5.991464547107982
0,1,27,1187,2,3.7,6.684611727667927
1,0,36,1357,4,3.6,6.1092475827643655
1,0,40,1485,4,4.0,6.214608098422191
1,0,35,350,4,3.0,5.857933154483459
1,0,54,1889,4,3.2,5.703782474656201
1,1,44,540,2,4.1,7.090076835776092
0,0,8,55,4,3.6,6.802394763324311
0,0,0,1425,2,3.4,5.703782474656201
0,0,19,1124,4,3.4,6.907755278982137
1,0,22,2121,2,3.2,5.991464547107982
1,0,36,257,4,4.0,5.991464547107982
1,0,71,2008,4,3.5,5.298317366548036
0,0,27,1095,4,3.4,5.991464547107982
1,0,41,575,2,4.1,6.396929655216146
0,0,8,2092,2,3.3,5.991464547107982
1,0,86,1565,2,3.5,5.991464547107982
0,0,89,1130,4,3.2,6.551080335043404
1,0,45,413,4,3.9,5.991464547107982
0,0,77,1179,2,3.6,5.703782474656201
0,0,29,1545,4,3.5,6.476972362889683
1,0,1,2196,2,3.5,5.521460917862246
0,1,31,510,4,4.2,6.684611727667927
0,0,31,1021,4,3.3,5.298317366548036
1,0,35,533,1,4.1,6.802394763324311
0,0,67,1124,5,3.6,7.438383530044307
1,0,0,1485,4,2.9,5.521460917862246
1,1,29,1485,2,3.8,6.684611727667927
1,0,77,308,2,3.3,5.991464547107982
0,0,44,1718,2,3.8,5.703782474656201
1,0,3,2047,2,3.2,5.991464547107982
1,1,12,720,6,4.5,7.438383530044307
1,0,3,1485,2,3.5,5.991464547107982
0,1,43,520,2,4.4,6.684611727667927
1,0,4,266,2,3.6,4.605170185988092
1,1,44,540,2,4.1,7.090076835776092
1,0,8,2161,4,3.3,5.703782474656201
1,0,3,1545,2,3.9,5.521460917862246
0,0,45,1866,4,3.9,5.298317366548036
1,1,73,935,4,4.9,7.3777589082278725
1,0,54,1749,4,2.7,6.309918278226516
1,0,74,308,2,3.8,5.703782474656201
0,0,0,1545,4,3.0,5.991464547107982
1,1,73,1363,4,4.4,7.24422751560335
0,0,22,1485,2,3.8,6.214608098422191
0,0,6,1105,4,3.1,5.0106352940962555
1,0,10,1485,2,3.2,5.0106352940962555
1,0,6,544,4,2.9,6.214608098422191
1,0,40,204,4,3.6,6.1092475827643655
0,1,27,675,6,3.9,7.090076835776092
1,0,5,350,2,3.2,5.991464547107982
1,0,22,2130,2,3.5,4.605170185988092
0,0,4,2008,4,4.4,5.0106352940962555
1,0,55,1741,2,3.6,6.551080335043404
1,0,86,297,2,3.8,5.298317366548036
1,0,22,1257,2,4.1,6.551080335043404
1,0,31,1545,2,3.8,6.214608098422191
0,1,50,1013,2,4.1,7.649692623711514
1,0,0,2174,4,4.0,5.521460917862246
0,0,44,1607,2,3.6,6.214608098422191
1,0,20,2080,2,3.7,5.298317366548036
1,0,27,580,5,4.3,6.907755278982137
0,0,45,1131,6,3.7,6.907755278982137
1,0,57,886,2,4.0,6.396929655216146
0,0,18,1545,2,3.5,6.684611727667927
1,0,0,365,4,3.0,5.298317366548036
1,1,22,1519,2,3.6,6.214608098422191
1,1,78,1091,4,3.2,5.991464547107982
0,1,44,529,1,4.5,6.802394763324311
1,0,82,2093,2,3.7,5.298317366548036
1,0,51,436,4,3.8,6.551080335043404
1,0,36,1673,2,3.9,5.991464547107982
1,0,2,2077,2,3.7,5.298317366548036
1,0,40,1500,2,3.4,6.214608098422191
1,0,1,2093,2,3.0,5.703782474656201
0,0,0,2008,4,3.4,5.0106352940962555
0,0,8,798,4,3.9,6.214608098422191
0,0,22,350,4,2.8,6.214608098422191
0,0,86,381,2,3.2,6.396929655216146
1,0,12,1593,4,3.4,6.396929655216146
1,1,46,1560,2,4.2,6.684611727667927
1,0,40,350,4,3.4,5.521460917862246
1,0,3,1545,2,3.4,6.1092475827643655
1,0,86,2130,4,3.7,5.703782474656201
1,0,0,1485,2,4.0,5.703782474656201
1,0,35,1219,3,3.8,5.991464547107982
1,1,54,46,4,4.8,7.24422751560335
1,0,0,606,2,3.8,6.551080335043404
0,1,8,1922,0,4.0,6.684611727667927
1,0,55,1514,2,3.8,5.521460917862246
1,0,3,219,3,2.9,5.991464547107982
1,0,2,680,4,3.9,6.620073206530356
1,0,31,436,2,3.8,5.991464547107982
1,0,0,308,2,3.9,6.551080335043404
0,0,51,2130,4,3.4,5.298317366548036
1,0,40,1955,2,4.0,5.703782474656201
1,0,60,1471,4,2.8,6.551080335043404
1,0,27,1073,5,4.1,7.24422751560335
0,0,1,1250,4,4.0,6.1092475827643655
0,0,63,789,4,3.5,6.802394763324311
1,0,40,1427,2,3.8,4.605170185988092
1,0,55,1216,2,4.5,5.991464547107982
1,0,0,1921,4,4.0,6.214608098422191
0,0,29,1816,4,3.5,6.620073206530356
0,0,69,82,2,2.5,6.620073206530356
1,0,15,523,2,4.2,6.620073206530356
1,0,86,2008,2,3.2,5.298317366548036
1,0,1,436,2,4.1,6.214608098422191
0,0,27,1545,4,3.1,6.907755278982137
1,1,3,939,5,4.4,7.090076835776092
1,0,86,786,2,4.0,6.802394763324311
1,0,2,308,2,3.5,5.703782474656201
0,0,35,2008,4,3.5,5.0106352940962555
1,0,86,1582,4,3.4,5.857933154483459
1,0,6,834,4,3.3,5.521460917862246
0,0,29,1816,4,3.5,6.620073206530356
1,0,29,1545,4,3.9,6.214608098422191
0,0,0,1545,4,3.1,5.991464547107982
1,1,69,1607,4,4.1,6.684611727667927
1,0,0,1379,2,3.6,5.298317366548036
1,1,36,599,1,4.1,6.684611727667927
1,0,28,483,4,3.6,6.476972362889683
1,0,0,2008,2,3.9,5.521460917862246
1,0,43,1820,2,3.7,5.991464547107982
0,0,40,2008,4,3.7,5.0106352940962555
0,0,6,1545,2,3.1,5.703782474656201
1,0,27,1230,2,4.4,6.309918278226516
1,0,0,136,0,3.9,6.684611727667927
1,0,73,2057,2,3.2,5.521460917862246
1,0,55,988,3,3.8,5.0106352940962555
0,0,70,1105,2,3.3,5.0106352940962555
1,0,75,1471,4,2.6,6.551080335043404
0,0,47,63,2,3.3,5.857933154483459
0,1,67,1391,4,4.5,8.160518247477505
1,0,44,1210,2,3.9,5.298317366548036
1,0,20,1036,2,4.1,5.991464547107982
1,0,44,1820,4,3.8,6.309918278226516
1,0,82,2008,2,3.9,5.521460917862246
1,1,22,508,1,3.8,6.551080335043404
1,0,0,338,4,3.9,5.703782474656201
1,0,8,2133,2,3.3,5.298317366548036
1,0,6,1779,2,4.2,6.214608098422191
1,0,50,1482,2,4.2,6.907755278982137
0,0,29,615,1,3.4,6.396929655216146
1,0,0,727,2,3.3,5.521460917862246
1,0,67,353,4,3.9,5.991464547107982
0,0,6,1485,4,2.1,6.1092475827643655
0,0,51,436,2,3.7,5.521460917862246
1,0,21,1768,2,3.9,6.476972362889683
1,0,1,338,4,3.8,5.991464547107982
1,0,19,1105,4,3.6,5.703782474656201
1,0,89,665,4,3.9,5.521460917862246
1,0,2,2077,4,3.7,5.298317366548036
1,0,83,1485,2,3.5,5.298317366548036
1,0,55,1809,2,3.2,5.298317366548036
1,0,54,1841,2,3.7,6.1092475827643655
1,0,58,806,2,4.0,6.620073206530356
1,0,6,664,4,4.1,6.684611727667927
1,1,25,84,4,3.7,6.551080335043404
0,0,27,547,4,4.2,6.551080335043404
1,1,86,1469,4,4.0,7.003065458786462
